"","CTRL","DNEG","SSA","SSAB"
"IGHV3-23",2439,4869,6219,5247
"IGHV3-30",1333,2830,4709,3796
"IGHV1-69",519,2418,4394,4488
"IGHV4-34",1135,1907,2856,4205
"IGHV4-39",1639,2468,2603,2823
"IGHV4-59",1063,2338,2874,2693
"IGHV3-21",1004,1956,3037,2759
"IGHV3-48",821,1631,2695,2593
"IGHV1-18",964,1805,2619,2223
"IGHV3-33",692,1649,2492,2721
"IGHV5-51",1016,1711,2434,2283
"IGHV3-7",854,1612,2362,2020
"IGHV3-15",511,1284,2181,2059
"IGHV1-2",731,1343,1867,1389
"IGHV3-30-3",186,1069,2140,1631
"IGHV4-4",658,1151,1513,1679
"IGHV3-9",468,1115,1979,1355
"IGHV4-31",502,1342,1390,1553
"IGHV4-61",737,1124,1221,1101
"IGHV3-11",363,1051,1402,1323
"IGHV1-46",589,1015,1276,1252
"IGHV2-5",424,902,1415,1301
"IGHV1-3",469,711,1159,1338
"IGHV3-74",550,891,1125,982
"IGHV3-53",239,713,1310,1195
"IGHV1-8",304,555,1047,815
"IGHV3-49",222,443,887,908
"IGHV4-38-2",136,425,1020,648
"IGHV1-24",214,428,878,690
"IGHV5-10-1",380,601,474,745
"IGHV4-30-4",45,418,1085,412
"IGHV2-70",187,431,768,544
"IGHV2-26",169,350,699,572
"IGHV6-1",247,445,484,515
"IGHV3-66",376,443,413,70
"IGHV3-73",111,243,393,383
"IGHV3-13",86,181,395,355
"IGHV4-30-2",63,208,429,253
"IGHV3-64D",104,295,256,292
"IGHV3-43",109,279,159,245
"IGHV7-4-1",3,134,354,274
"IGHV1-58",63,130,290,278
"IGHV3-72",82,148,188,184
"IGHV3-20",100,92,221,153
"IGHV3-43D",13,93,168,108
"IGHV3-64",71,93,95,117
"IGHV1-69-2",0,175,152,24
"IGHV4-28",5,9,16,6
"IGHV1-45",3,10,13,9
"IGHV3-69-1",4,1,0,1
"IGHV2-70D",0,1,0,0
"IGHV3-NL1",1,0,0,0
"IGHV3/OR16-17",0,0,1,0
"IGHV4/OR15-8",0,0,1,0
